seed_idx,rung,rung_id,rung_description,fit_type,replicate_id,seed,sub_seed,system,system_raw,root_z_true,log_L0,log_L1,log_B,log_B_eff,rho_collapsed,rho,brier,log_score,brier_improvement_vs_prior,log_score_improvement_vs_prior,evidence_category,correct_sign,classified_present_at_0p5,brier_improvement,log_score_improvement,sweep_beta_pres,sweep_beta_abs,unique_observation_values,mean_leaf_loglik_z0,mean_leaf_loglik_z1
21,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,21,20260511,41260574,Chicken,Chicken,0,-21.38720973188907,-29.757697278886866,-8.370487546997797,-8.370487546997797,4.6318376318775654e-05,4.6318376318775654e-05,2.145391984807717e-09,-4.63194490478929e-05,0.02777777563238579,0.18227523734490672,strong_absent,True,False,0.02777777563238579,0.18227523734490672,,,"0,1",-2.5160890007001333,-15.766064406949114
21,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,21,20260511,41260574,LLMs,2024 Leading Chat LLMs,1,-20.924403297614028,-14.625252176789015,6.299151120825012,6.299151120825012,0.990894353511716,0.990894353511716,8.29127979695996e-05,-0.009147356276726243,0.694361531646475,1.7826121129513288,strong_present,True,True,0.694361531646475,1.7826121129513288,,,"0,1",-16.134119279344922,-2.148034128304328
22,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,22,20260511,42260577,Chicken,Chicken,1,-15.038291722253309,-6.665359124753276,8.372932597500032,8.372932597500032,0.9988461478093478,0.9988461478093478,1.3313748778729432e-06,-0.0011545183906046526,0.6944431130695666,1.7906049508374504,strong_present,True,True,0.6944431130695666,1.7906049508374504,,,"0,1",-17.60633876892814,-0.6758146387211081
22,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,22,20260511,42260577,LLMs,2024 Leading Chat LLMs,0,-3.720921088996557,-12.093860395163135,-8.372939306166579,-8.372939306166579,4.620495915465737e-05,4.620495915465737e-05,2.134898250483556e-09,-4.6206026636664714e-05,0.027777775642879525,0.18227535076731796,strong_absent,True,False,0.027777775642879525,0.18227535076731796,,,0,-0.3077597663253032,-17.974393641323946
23,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,23,20260511,43260580,Chicken,Chicken,0,-17.59156177825073,-21.775606506831416,-4.184044728580687,-4.184044728580687,0.0030380927111807177,0.0030380927111807177,9.230007321729404e-06,-0.003042717083397727,0.027768547770456047,0.1792788397105569,strong_absent,True,False,0.027768547770456047,0.1792788397105569,,,"0,1",-5.4605279798665745,-12.821625427782674
23,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,23,20260511,43260580,LLMs,2024 Leading Chat LLMs,1,-26.12289275196237,-18.326854292468706,7.796038459493666,7.796038459493666,0.9979474148707786,0.9979474148707786,4.2131057127006325e-06,-0.0020546945691086106,0.6944402313387318,1.7897047746589463,strong_present,True,True,0.6944402313387318,1.7897047746589463,,,"0,1",-16.134119279344922,-2.1480341283043285
24,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,24,20260511,44260583,Chicken,Chicken,1,-17.982668485553468,-11.702964005928536,6.279704479624932,6.279704479624932,0.9907172061371612,0.9907172061371612,8.617026189995791e-05,-0.009326147497603103,0.6943582741825446,1.7824333217304518,strong_present,True,True,0.6943582741825446,1.7824333217304518,,,"0,1",-15.766064406949116,-2.5160890007001333
24,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,24,20260511,44260583,LLMs,2024 Leading Chat LLMs,0,-6.665359124753278,-15.038291722253309,-8.37293259750003,-8.37293259750003,4.620526911503843e-05,4.620526911503843e-05,2.134926893993124e-09,-4.620633661136819e-05,0.02777777564285088,0.18227535045734325,strong_absent,True,False,0.02777777564285088,0.18227535045734325,,,"0,1",-0.6758146387211081,-17.60633876892814
25,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,25,20260511,45260586,Chicken,Chicken,0,-8.75859380014226,-15.038291571100649,-6.279697770958389,-6.279697770958389,0.0003746529577249834,0.0003746529577249834,1.403648387320782e-07,-0.00037472315767864383,0.027777637412939045,0.18194683363627598,strong_absent,True,False,0.027777637412939045,0.18194683363627598,,,"0,1",-2.8841438730959386,-15.398009534553312
25,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,25,20260511,45260586,LLMs,2024 Leading Chat LLMs,1,-22.626477005670818,-22.626470297004275,6.708666543175923e-06,6.708666543175923e-06,0.16666759842799236,0.16666759842799236,0.6944428915097698,-1.7917538786757279,1.5529346747422679e-06,5.590552327072729e-06,ambiguous,True,False,1.5529346747422679e-06,5.590552327072729e-06,,,"0,1",-9.50913157622043,-8.773021831428819
26,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,26,20260511,46260589,Chicken,Chicken,1,-15.038291571100647,-8.75859380014226,6.279697770958387,6.279697770958387,0.9907171444398769,0.9907171444398769,8.617140735010823e-05,-0.00932620977297878,0.6943582730370944,1.7824332594550762,strong_present,True,True,0.6943582730370944,1.7824332594550762,,,"0,1",-15.398009534553312,-2.8841438730959386
26,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,26,20260511,46260589,LLMs,2024 Leading Chat LLMs,0,-8.758593800142261,-15.038291571100649,-6.279697770958387,-6.279697770958387,0.0003746529577249841,0.0003746529577249841,1.4036483873207874e-07,-0.00037472315767864454,0.027777637412939045,0.18194683363627598,strong_absent,True,False,0.027777637412939045,0.18194683363627598,,,"0,1",-2.8841438730959386,-15.398009534553312
27,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,27,20260511,47260592,Chicken,Chicken,0,-12.437978220955268,-20.234030097782025,-7.796051876826757,-7.796051876826757,8.226440416307559e-05,8.226440416307559e-05,6.767432192305849e-09,-8.226778806475612e-05,0.027777771010345585,0.18223928900588987,strong_absent,True,False,0.027777771010345585,0.18223928900588987,,,"0,1",-1.4119243835127184,-16.87022902413653
27,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,27,20260511,47260592,LLMs,2024 Leading Chat LLMs,1,-19.68513617643385,-19.68512275869071,1.3417743140564653e-05,1.3417743140564653e-05,0.16666853025043785,0.16666853025043785,0.6944413384749655,-1.7917482877879405,3.1059694790558368e-06,1.1181440114471641e-05,ambiguous,True,False,3.1059694790558368e-06,1.1181440114471641e-05,,,"0,1",-9.877186448616234,-8.404966959033015
28,L0,L0,"toy depth-2 binary tree, all edges 0.90/0.10, binary noisy leaves",no_fit_exact_dp,28,20260511,48260595,Chicken,Chicken,1,-15.03829157110296,-8.758532678419689,6.279758892683271,6.279758892683271,0.9907177065402161,0.9907177065402161,8.616097187354753e-05,-0.009325642406013487,0.694358283472571,1.7824338268220414,strong_present,True,True,0.694358283472571,1.7824338268220414,,,"0,1",-16.134119279344922,-2.1480341283043285
