beta_profile,evidence_stage,rung_label,system,root_z_true,n,median_log_B,mean_log_B,q05_log_B,q25_log_B,q75_log_B,q95_log_B,mean_rho,p_correct_sign,p_decisive,balanced_accuracy,balanced_log_score_improvement,evidence_margin_M,pass_fail_label,median_loss_top_to_subfeature,median_loss_subfeature_to_leaf_latent,median_loss_leaf_latent_to_binary_K6,median_loss_binary_perfect_to_binary_K6,median_loss_binary_K6_to_ordinal_binary,median_loss_ordinal_binary_to_three_state
production_oracle_median,ordinal_three_state_clamped,4O,LLMs,0,250,-2.108242125559457,-2.036164237487378,-5.2652844431195716,-3.581974291515351,-0.4127287945677125,1.749810640390642,0.10014703128655751,0.804,0.632,0.798,0.5534646239881752,0.7732410588594567,pass,1.8018918161891162,0.9395177540790529,1.4824447756467407e-05,1.4824447756467407e-05,-1.4824140670555153e-05,-0.5601120308005818
production_oracle_median,ordinal_three_state_clamped,4O,LLMs,1,250,2.423174610719883,2.2736005570037494,-1.3180748540299474,1.1570993503792266,3.7072882772941824,4.927020644213789,0.6190205859262057,0.888,0.652,0.798,0.5534646239881752,0.7732410588594567,pass,-1.8381882213259106,-0.9171422616300988,-1.0031054026526931e-05,-1.0031054026526931e-05,1.0031053129466727e-05,0.7164812020321563
production_oracle_median,ordinal_three_state_clamped,4O,LLMs,ALL,500,0.33310261460684387,0.11871815975818584,-4.63362070700291,-2.1804399855225967,2.5335173765506767,4.373648200913955,0.35958380860638156,0.846,0.642,0.798,0.5534646239881752,0.7732410588594567,pass,-0.2047846167643903,-0.14431734175610567,2.436387315896127e-06,2.436387315896127e-06,-2.4377668310648914e-06,0.20206498405713091
production_prior_mean,top_observed,,Chicken,0,250,-3.50963956385739,-2.8551875736777803,-5.626821433520074,-3.9528449999484003,-1.0624732420522371,1.4224334077357634,0.06680804822214276,0.916,0.708,0.88,0.6210460552659074,1.1992898564215537,pass,1.9208443557446244,0.49990250433569305,1.974958749428879e-06,1.974958749428879e-06,-1.9749486099840396e-06,0.05999586342556995
production_prior_mean,top_observed,,Chicken,1,250,2.808727768855654,2.8008811904687874,-1.062473242052237,1.7478558081703919,4.600487238083709,5.293634418643655,0.6924899149684943,0.88,0.796,0.88,0.6210460552659074,1.1992898564215537,pass,-2.015609667336803,-0.5300106331992129,-1.9415532364064347e-06,-1.9415532364064347e-06,1.9415891543417274e-06,0.12331852337072746
production_prior_mean,top_observed,,Chicken,ALL,500,-0.3693260614922915,-0.027153191604496328,-5.626821433520074,-3.5473798918402357,2.808727768855654,4.925909638518338,0.37964898159531857,0.898,0.752,0.88,0.6210460552659074,1.1992898564215537,pass,-0.12820801008983884,0.04839473280362483,8.588578737089847e-08,8.588578737089847e-08,-8.587719690922313e-08,0.07949998413137394
production_prior_mean,top_observed,,LLMs,0,250,-2.854232711280292,-2.570402778747383,-5.626821433520074,-3.915104671965553,-1.062473242052237,1.4224334077357634,0.07077559876400284,0.904,0.668,0.856,0.6893741940920738,1.1992898564215537,pass,1.727585133398906,0.33385691006561946,3.560127666446533e-06,3.560127666446533e-06,-3.5601198078438756e-06,-0.10707337314195797
production_prior_mean,top_observed,,LLMs,1,250,2.808727768855654,2.9166320724488455,-0.3693260614922908,1.7195505621832574,4.600487238083709,5.293634418643655,0.6975930461653604,0.94,0.76,0.856,0.6893741940920738,1.1992898564215537,pass,-1.8909685036352544,-0.6547809535983015,-3.079938311500996e-06,-3.079938311500996e-06,3.0782949167473816e-06,0.2744113784212061
production_prior_mean,top_observed,,LLMs,ALL,500,0.03613904661587286,0.17311464685073116,-5.626821433520074,-2.854232711280292,2.808727768855654,4.925909638518338,0.38418432246468165,0.922,0.714,0.856,0.6893741940920738,1.1992898564215537,pass,-0.04334520830755567,-0.1702697764635941,1.5046100898530312e-07,1.5046100898530312e-07,-1.5033818101528595e-07,0.0645709011730844
production_prior_mean,subfeature_observed,,Chicken,0,250,-1.0590781541268792,-1.0776013913676719,-3.3641475442251814,-2.0952175183852413,-0.10441886931825078,1.240282765959824,0.11663540127040997,0.772,0.424,0.64,0.2948294995923365,-0.5895476296477182,fail,1.9208443557446244,0.49990250433569305,1.974958749428879e-06,1.974958749428879e-06,-1.9749486099840396e-06,0.05999586342556995
production_prior_mean,subfeature_observed,,Chicken,1,250,1.019890282786382,0.9452544274931152,-1.5981294608884264,0.16978162003009187,1.7661935964955884,3.0034414805046565,0.3825974124093671,0.788,0.304,0.64,0.2948294995923365,-0.5895476296477182,fail,-2.015609667336803,-0.5300106331992129,-1.9415532364064347e-06,-1.9415532364064347e-06,1.9415891543417274e-06,0.12331852337072746
production_prior_mean,subfeature_observed,,Chicken,ALL,500,0.03953734859723146,-0.06617348193727839,-3.083747419730676,-1.2622594819412851,1.1870576832496162,2.681647244676049,0.24961640683988856,0.78,0.364,0.64,0.2948294995923365,-0.5895476296477182,fail,-0.12820801008983884,0.04839473280362483,8.588578737089847e-08,8.588578737089847e-08,-8.587719690922313e-08,0.07949998413137394
production_prior_mean,subfeature_observed,,LLMs,0,250,-0.8652783381422218,-0.9155203373149262,-3.232452082462066,-1.8443442612092693,-0.054186591113528526,1.3489424122996705,0.12819607295139676,0.756,0.384,0.6639999999999999,0.33140926228426043,-0.4697227285577783,fail,1.727585133398906,0.33385691006561946,3.560127666446533e-06,3.560127666446533e-06,-3.5601198078438756e-06,-0.10707337314195797
production_prior_mean,subfeature_observed,,LLMs,1,250,1.2131344384725544,1.0782013489470013,-1.1291093434571584,0.3153752360125941,1.8909620343104225,2.981423604868172,0.4067023439029973,0.792,0.356,0.6639999999999999,0.33140926228426043,-0.4697227285577783,fail,-1.8909685036352544,-0.6547809535983015,-3.079938311500996e-06,-3.079938311500996e-06,3.0782949167473816e-06,0.2744113784212061
production_prior_mean,subfeature_observed,,LLMs,ALL,500,0.12892288831586934,0.08134050581603754,-2.667175660069461,-1.0809059184962213,1.363973816369,2.6999916081335877,0.26744920842719705,0.774,0.37,0.6639999999999999,0.33140926228426043,-0.4697227285577783,fail,-0.04334520830755567,-0.1702697764635941,1.5046100898530312e-07,1.5046100898530312e-07,-1.5033818101528595e-07,0.0645709011730844
