beta_profile,leaf_key,leaf_name,top_feature_key,top_feature_name,path_length,path_edge_gaps,min_path_gap,product_path_gap_heuristic,path_labels,n_sibling_leaves_under_top,p_leaf_present_R1,p_leaf_present_R0,binary_gap,kl_binary_R1_to_R0,kl_binary_R0_to_R1,sym_kl_binary,tv_binary,hellinger_binary,p_m0_R1,p_m1_R1,p_m2_R1,p_m0_R0,p_m1_R0,p_m2_R0,sym_kl_three_state,hellinger_three_state,sym_kl_ordinal_ref_rater,hellinger_ordinal_ref_rater
production_prior_mean,Global Workspace Theory > Modularity > Poorly Intraconnected Networks,Poorly Intraconnected Networks,Global Workspace Theory > Modularity,Modularity,2,0.15;0.340909,0.15000000000000002,0.051136363636363646,weak support / moderately demanding > moderate support / moderately demanding,6,0.38636363636363635,0.3352272727272727,0.051136363636363646,0.005735030327524988,0.00561790558438021,0.005676467955952599,0.051136363636363646,0.0376652073278186,0.3765495867768595,0.47417355371900827,0.14927685950413222,0.4419227789256199,0.44569989669421484,0.11237732438016527,0.0113529359119052,0.05324775176142392,0.007472698919847337,0.04320797646802973
production_prior_mean,Global Workspace Theory > Modularity > Dedicated Speech Systems,Dedicated Speech Systems,Global Workspace Theory > Modularity,Modularity,2,0.15;0.340909,0.15000000000000002,0.051136363636363646,weak support / moderately demanding > moderate support / moderately demanding,6,0.38636363636363635,0.3352272727272727,0.051136363636363646,0.005735030327524988,0.00561790558438021,0.005676467955952599,0.051136363636363646,0.0376652073278186,0.3765495867768595,0.47417355371900827,0.14927685950413222,0.4419227789256199,0.44569989669421484,0.11237732438016527,0.0113529359119052,0.05324775176142392,0.007472698919847337,0.04320797646802973
production_prior_mean,Global Workspace Theory > Modularity > Dedicated Action Systems,Dedicated Action Systems,Global Workspace Theory > Modularity,Modularity,2,0.15;0.342857,0.15000000000000002,0.051428571428571435,weak support / moderately demanding > strong support / weakly undemanding,6,0.7085714285714285,0.6571428571428571,0.05142857142857138,0.0060277989348288125,0.00620543135463434,0.006116615144731576,0.05142857142857138,0.03909631681718816,0.084930612244898,0.412995918367347,0.502073469387755,0.11755102040816327,0.4506122448979592,0.43183673469387757,0.012233230289463139,0.055269409241189255,0.007898196903528425,0.044421539460754986
production_prior_mean,Global Workspace Theory > Modularity > Dedicated Sensory Systems,Dedicated Sensory Systems,Global Workspace Theory > Modularity,Modularity,2,0.15;0.21,0.15000000000000002,0.0315,weak support / moderately demanding > strong support / moderately undemanding,6,0.834,0.8025,0.03149999999999997,0.0032676583602670867,0.003418290454917986,0.0033429744075925364,0.03149999999999997,0.028901711995435307,0.02755600000000001,0.276888,0.695556,0.039006250000000006,0.31698750000000003,0.64400625,0.006685948815185083,0.04086465675228118,0.004000780510792936,0.031617788027113486
production_prior_mean,Global Workspace Theory > Complexity > Functional Diversity > Diversity of Tasks,Diversity of Tasks,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.263736;0.428571,0.26373626373626374,0.03875308365104283,strong support / weakly undemanding > moderate support / weakly demanding > strong support / weakly demanding,8,0.7155864543619646,0.6768333707109216,0.03875308365104291,0.0035112986225863396,0.003596639039425531,0.0035539688310059353,0.03875308365104291,0.029803766979911665,0.08089106494239887,0.40704496139127316,0.5120639736663279,0.1044366702860646,0.4374599180060275,0.45810341170790786,0.007107937662011874,0.04213953059203741,0.004568856550953055,0.033790189239307135
production_prior_mean,Global Workspace Theory > Complexity > Functional Diversity > Variability of Responses to Stimuli,Variability of Responses to Stimuli,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.263736;0.0625,0.0625,0.00565149136577708,strong support / weakly undemanding > moderate support / weakly demanding > weak support / moderately undemanding,8,0.7918563579277865,0.7862048665620094,0.005651491365777139,9.562704955503633e-05,9.62547252267151e-05,9.594088739087571e-05,0.005651491365777139,0.0048974415233403595,0.043323775735085716,0.3296397326742555,0.6270364915906588,0.045708359081768214,0.3361735487124448,0.618118092205787,0.00019188177478175143,0.006925986693031027,0.00011763420391410363,0.00542292988039594
production_prior_mean,Global Workspace Theory > Complexity > Informational Complexity > Optimized Componentry,Optimized Componentry,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.55;0.0714286,0.0714285714285714,0.013469387755102036,strong support / weakly undemanding > strong support / moderately demanding > weak support / neutral,8,0.5537755102040816,0.5403061224489796,0.01346938775510198,0.00036580022617563844,0.0003664244447201606,0.0003661123354478995,0.01346938775510198,0.009566955507498767,0.19911629529362773,0.4942163890045814,0.30666731570179084,0.21131846105789256,0.4967508329862557,0.2919307059558517,0.0007322246708957982,0.01352940864337829,0.0004858450000356923,0.011020746512063511
production_prior_mean,Global Workspace Theory > Complexity > Informational Complexity > Compressibility,Compressibility,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.55;0.25,0.25,0.047142857142857146,strong support / weakly undemanding > strong support / moderately demanding > moderate support / neutral,8,0.6882142857142857,0.6410714285714285,0.04714285714285715,0.004933556826603243,0.005049727260258929,0.004991642043431086,0.04714285714285715,0.03532030698475961,0.0972103316326531,0.4291507653061225,0.4736389030612244,0.12882971938775514,0.4601977040816327,0.4109725765306122,0.009983284086862162,0.04993487613533667,0.006482267228617871,0.040245879576628785
production_prior_mean,Global Workspace Theory > Complexity > Structural Complexity > Functional Specialization,Functional Specialization,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.638889;0.388889,0.34285714285714286,0.0851851851851852,strong support / weakly undemanding > strong support / strongly demanding > strong support / neutral,8,0.7703703703703704,0.6851851851851851,0.08518518518518525,0.01782171456288388,0.019037840620705113,0.018429777591794497,0.08518518518518525,0.06782430965495431,0.05272976680384088,0.3537997256515775,0.5934705075445816,0.09910836762688618,0.4314128943758574,0.4694787379972564,0.036859555183589,0.09580768601790739,0.023360856890244117,0.07634072184408074
production_prior_mean,Global Workspace Theory > Complexity > Structural Complexity > Number of Layers,Number of Layers,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.638889;0.340909,0.34090909090909094,0.07467532467532469,strong support / weakly undemanding > strong support / strongly demanding > moderate support / moderately demanding,8,0.487012987012987,0.41233766233766234,0.07467532467532467,0.011346478649058273,0.011231621140422365,0.011289049894740319,0.07467532467532467,0.05311194243011515,0.26315567549333785,0.4996626749873503,0.23718164951931187,0.34534702310676335,0.48463062911114857,0.17002234778208805,0.022578099789480627,0.07505864042393942,0.01501113526300181,0.061223733553241365
production_prior_mean,Global Workspace Theory > Complexity > Structural Complexity > Number of Nodes,Number of Nodes,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.638889;0.263736,0.26373626373626374,0.057770800627943486,strong support / weakly undemanding > strong support / strongly demanding > moderate support / weakly demanding,8,0.6119309262166405,0.554160125588697,0.057770800627943486,0.0068277043947185395,0.006918409470299189,0.006873056932508864,0.057770800627943486,0.04144533339534267,0.15059760602707453,0.47494293551257,0.3744594584603555,0.19877319361508644,0.49413336159243315,0.3070934447924804,0.013746113865017735,0.05858737725323377,0.009080373432043078,0.047629340232022865
production_prior_mean,Global Workspace Theory > Complexity > Structural Complexity > Number of Connections,Number of Connections,Global Workspace Theory > Complexity,Complexity,3,0.342857;0.638889;0.263736,0.26373626373626374,0.057770800627943486,strong support / weakly undemanding > strong support / strongly demanding > moderate support / weakly demanding,8,0.6119309262166405,0.554160125588697,0.057770800627943486,0.0068277043947185395,0.006918409470299189,0.006873056932508864,0.057770800627943486,0.04144533339534267,0.15059760602707453,0.47494293551257,0.3744594584603555,0.19877319361508644,0.49413336159243315,0.3070934447924804,0.013746113865017735,0.05858737725323377,0.009080373432043078,0.047629340232022865
production_prior_mean,Global Workspace Theory > Selective Attention > Non-Linear Capabilities > Threshold Activation,Threshold Activation,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.228571;0.388889,0.22857142857142865,0.04888888888888892,strong support / moderately demanding > moderate support / weakly undemanding > strong support / neutral,12,0.7933333333333334,0.7444444444444445,0.04888888888888898,0.006578087020562139,0.006912209587483412,0.006745148304022775,0.04888888888888898,0.04104920096137815,0.04271111111111107,0.327911111111111,0.6293777777777779,0.06530864197530863,0.3804938271604938,0.5541975308641975,0.01349029660804553,0.058027876488652506,0.00837427704175767,0.04573593639171505
production_prior_mean,Global Workspace Theory > Selective Attention > Non-Linear Capabilities > Self-Sustained Activity,Self-Sustained Activity,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.228571;0.228571,0.22857142857142865,0.028734693877551044,strong support / moderately demanding > moderate support / weakly undemanding > moderate support / weakly undemanding,12,0.7438367346938776,0.7151020408163266,0.02873469387755101,0.0020701562228635333,0.00211684507437946,0.0020935006486214967,0.02873469387755101,0.022875329263100083,0.06561961849229488,0.38108729362765514,0.55329308788005,0.08116684714702206,0.4074622240733028,0.5113709287796752,0.004187001297242997,0.032346368499587684,0.002655464421256415,0.025762509577058564
production_prior_mean,Global Workspace Theory > Selective Attention > Adaptive Focus > Task Focus,Task Focus,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.55;0.340909,0.34090909090909094,0.10312500000000002,strong support / moderately demanding > strong support / moderately demanding > moderate support / moderately demanding,12,0.48522727272727273,0.3821022727272727,0.10312500000000002,0.02193871609406059,0.02153120826428434,0.021734962179172465,0.10312500000000002,0.07367800964851749,0.26499096074380163,0.49956353305785123,0.23544550619834712,0.3817976013688017,0.47220025180785125,0.14600214682334708,0.043469924358344944,0.10405493814250318,0.028866281265957923,0.08485205927816578
production_prior_mean,Global Workspace Theory > Selective Attention > Adaptive Focus > Goal Focus Shifts,Goal Focus Shifts,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.55;0.340909,0.34090909090909094,0.10312500000000002,strong support / moderately demanding > strong support / moderately demanding > moderate support / moderately demanding,12,0.48522727272727273,0.3821022727272727,0.10312500000000002,0.02193871609406059,0.02153120826428434,0.021734962179172465,0.10312500000000002,0.07367800964851749,0.26499096074380163,0.49956353305785123,0.23544550619834712,0.3817976013688017,0.47220025180785125,0.14600214682334708,0.043469924358344944,0.10405493814250318,0.028866281265957923,0.08485205927816578
production_prior_mean,Global Workspace Theory > Selective Attention > Adaptive Focus > Inattentional Blindness,Inattentional Blindness,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.55;0.263736,0.26373626373626374,0.07978021978021979,strong support / moderately demanding > strong support / moderately demanding > moderate support / weakly demanding,12,0.6105494505494505,0.5307692307692308,0.07978021978021976,0.01291928908316381,0.01312015704349316,0.013019723063328485,0.07978021978021976,0.05703522668575786,0.15167173046733487,0.4755576379664292,0.37277063156623597,0.2201775147928994,0.49810650887573965,0.281715976331361,0.026039446126656964,0.08059436733450207,0.017226042022280723,0.06558188740179526
production_prior_mean,Global Workspace Theory > Selective Attention > Attention-Constrained Architecture > Informational Bottleneck,Informational Bottleneck,Global Workspace Theory > Selective Attention,Selective Attention,3,0.55;0.263736;0.55,0.26373626373626374,0.07978021978021979,strong support / moderately demanding > moderate support / weakly demanding > strong support / moderately demanding,12,0.6017582417582418,0.5219780219780219,0.07978021978021987,0.012870316567627077,0.013044512422861573,0.012957414495244325,0.07978021978021987,0.056898965933215064,0.158596498007487,0.4792905204685424,0.36211298152397053,0.22850501147204452,0.49903393309986716,0.2724610554280883,0.025914828990488636,0.08040213487208307,0.01716174324621741,0.0654595623538745
