alternative,replicate,C_true,J,K,C_post_mean,C_post_median,C_post_sd,C_central_80_low,C_central_80_high,C_central_95_low,C_central_95_high,C_contraction,bias,abs_error,squared_error,covered_80,covered_95
direct_q_continuous_observation,10458,0.05,64,5,0.04366657808190592,0.040963880076558455,0.025376354144434968,0.011710645684156846,0.07784705847229079,0.0032065332297209178,0.09898569432228312,0.18015424286720144,-0.006333421918094086,0.006333421918094086,4.0112233192594566e-05,1,1
direct_q_continuous_observation,10459,0.05,64,5,0.09032251956146113,0.0891955364655783,0.030851484030605624,0.05097762469104598,0.13022345132261778,0.03210895895485184,0.15297171975103388,0.2190238091425039,0.04032251956146113,0.04032251956146113,0.0016259055837844153,0,1
direct_q_continuous_observation,10460,0.05,64,5,0.08192978880491861,0.0807311185368916,0.030384059923706012,0.04311150590406257,0.121317337509221,0.02485162426761103,0.14386559086176764,0.2157054271717493,0.031929788804918605,0.031929788804918605,0.0010195114131267054,1,1
direct_q_continuous_observation,10461,0.05,64,5,0.04366657808190592,0.040963880076558455,0.025376354144434968,0.011710645684156846,0.07784705847229079,0.0032065332297209178,0.09898569432228312,0.18015424286720144,-0.006333421918094086,0.006333421918094086,4.0112233192594566e-05,1,1
direct_q_continuous_observation,10462,0.05,64,5,0.054032704587364054,0.05202012666100918,0.027490447356389624,0.01878410433426508,0.09047866486289612,0.006513625167543074,0.11216129878838865,0.19516281580020114,0.004032704587364051,0.004032704587364051,1.6262706288947064e-05,1,1
direct_q_continuous_observation,10463,0.05,64,5,0.027692485780255956,0.023786351119406458,0.020090086662151067,0.004457594817479487,0.05540818870099171,0.0007754263649624144,0.07483416786271171,0.14262546665120543,-0.022307514219744046,0.022307514219744046,0.0004976251906640828,1,1
direct_q_continuous_observation,10464,0.05,64,5,0.06956824975113066,0.0681581388097882,0.029447661719356664,0.03179077794626706,0.10798976486403679,0.015221241384149443,0.13020963251389162,0.20905765938893095,0.019568249751130654,0.019568249751130654,0.0003829163983226249,1,1
direct_q_continuous_observation,10465,0.05,64,5,0.03226810407338563,0.028658580628204207,0.021918043003283445,0.0060817463659771165,0.062342503029550106,0.0012488952564823053,0.08244832278682125,0.15560266931619982,-0.017731895926614373,0.017731895926614373,0.0003144201331522834,1,1
direct_q_continuous_observation,10466,0.05,64,5,0.06555244028134478,0.06403065917473201,0.029045944292221407,0.028245778988949095,0.10357164955007334,0.01254037900928518,0.12567008713317052,0.2062057485698985,0.015552440281344782,0.015552440281344782,0.00024187839870479575,1,1
direct_q_continuous_observation,10467,0.05,64,5,0.017904401366460265,0.013925546770147778,0.015056115440054115,0.001973116073839368,0.038616782396742697,0.00011391092626461209,0.05541999049075924,0.10688781620030176,-0.03209559863353974,0.03209559863353974,0.0010301274516452779,0,1
