alternative,J,K,C_true,n,RMSE,mean_abs_error,mean_bias,median_contraction,coverage_80,coverage_95,median_post_sd
direct_q_continuous_observation,16,5,0.1,200,0.04853421245049101,0.03840592777948165,0.007540641410955325,0.3936977658652109,0.85,0.96,0.055455890316349045
direct_q_continuous_observation,16,5,0.25,200,0.06689758206329192,0.05428515407676178,-0.02075248122168403,0.48180875340217844,0.835,0.95,0.06786711965054895
direct_q_continuous_observation,16,5,0.5,200,0.08050301832896017,0.06628954360212755,-0.04602039549299002,0.5162799227363208,0.745,0.955,0.0727226955552519
direct_q_continuous_observation,16,5,0.75,200,0.09492625179382476,0.07789878706639676,-0.07042671594194447,0.481919061939531,0.61,0.855,0.06788265760549501
direct_q_continuous_observation,16,20,0.05,200,0.024240272325352044,0.019266964087466764,0.003388611843568647,0.19058708748167114,0.81,0.965,0.026845914646908393
direct_q_continuous_observation,16,20,0.1,200,0.031768787699401314,0.026004422484589854,-0.001998630135060157,0.22182456109567217,0.765,0.955,0.031245995268882183
direct_q_continuous_observation,16,20,0.25,200,0.033416912299044844,0.02630790803011097,-0.004559404541538528,0.2532902115422809,0.825,0.955,0.03567821666100745
direct_q_continuous_observation,16,20,0.5,200,0.03789001018942342,0.030700979820131865,-0.011363377115116455,0.2708643314766377,0.78,0.945,0.03815369036694593
direct_q_continuous_observation,16,20,0.75,200,0.03769331147499835,0.03045675464459296,-0.02011280241841965,0.2521344134151278,0.74,0.96,0.03551541204354567
direct_q_continuous_observation,64,1,0.05,200,0.04940403367911074,0.0330571731693204,0.027452106283032143,0.34488689320535415,0.9,0.97,0.048580437532100756
direct_q_continuous_observation,64,1,0.1,200,0.048862109381154255,0.03897780137221414,0.006410130314645303,0.40755821750244864,0.88,0.985,0.05740826026196077
direct_q_continuous_observation,64,1,0.25,200,0.07988132152476131,0.06535258875292754,-0.02338539162865108,0.5344001504133123,0.725,0.925,0.07527509347489503
direct_q_continuous_observation,64,1,0.5,200,0.08472021932548941,0.06958471053714066,-0.04571275108807562,0.5687769208308714,0.78,0.945,0.08011737243859926
direct_q_continuous_observation,64,1,0.75,200,0.10717929233537322,0.08990201688933253,-0.08581423596079783,0.536457495279251,0.5,0.845,0.07556488910271034
direct_q_continuous_observation,64,5,0.05,200,0.023380001688748472,0.01795070524677138,0.004850662064573528,0.19058708748167114,0.83,0.98,0.026845914646908393
direct_q_continuous_observation,64,5,0.1,200,0.03193626673965551,0.025573014984215138,0.0016848197050175987,0.22310058144554562,0.77,0.945,0.031425734273518136
direct_q_continuous_observation,64,5,0.25,200,0.03701758257526867,0.030180644969667023,-0.00818522242926302,0.2523120075412203,0.745,0.94,0.03554042778209264
direct_q_continuous_observation,64,5,0.5,200,0.035838841833307565,0.028784394688680708,-0.009065020080355311,0.270930335825488,0.82,0.955,0.03816298767632283
direct_q_continuous_observation,64,5,0.75,200,0.043304125186884354,0.03319433180218891,-0.020700815800867606,0.2521344134151278,0.74,0.915,0.03551541204354567
direct_q_continuous_observation,64,20,0.05,200,0.013269649199631195,0.010602944756919924,-0.00047076711196817364,0.10421237904111207,0.855,0.95,0.01467925592366279
direct_q_continuous_observation,64,20,0.1,200,0.01629599874098384,0.01286302371794337,-0.0011606820051607094,0.11216456395579033,0.82,0.935,0.0157993930761675
direct_q_continuous_observation,64,20,0.25,200,0.018896939346503692,0.015295231675012485,-0.0036434994820541775,0.1278921200448112,0.76,0.965,0.018014761567020397
direct_q_continuous_observation,64,20,0.5,200,0.01908932112150643,0.01475559966344731,-0.002279451570856671,0.1372053985856679,0.82,0.945,0.01932662106439987
direct_q_continuous_observation,64,20,0.75,200,0.020517223036252707,0.01658693082626519,-0.0074528624080173154,0.12811895301818946,0.75,0.92,0.01804671304244762
latent_leaf_continuous_propensity,4,1,0.05,200,0.10995367949228392,0.10010538907171465,0.10010538907171465,0.8831438530287008,0.98,1.0,0.12439879748742369
