part,alternative,beta_gap_regime,beta_pres,beta_abs,J,K,C,KL_1_to_0_per_leaf,KL_0_to_1_per_leaf,E_R1_log_B,E_R0_log_B,required_log_B_for_rho_0_50,required_log_B_for_rho_0_80,required_log_B_for_rho_0_95,required_log_B_for_rho_0_05,I_total,I_total_over_prior_precision,prior_precision_scale,approximate_contraction
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,5,0.05,,,,,,,,,1143.8658428949689,22.69575085109065,50.400000000000006,0.20543042403590198
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,20,0.05,,,,,,,,,4575.4633715798755,90.7830034043626,50.400000000000006,0.10438037854258209
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,1,0.05,,,,,,,,,14.298323036187112,0.28369688563863316,50.400000000000006,0.882609822187686
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,1,0.05,,,,,,,,,57.19329214474845,1.1347875425545326,50.400000000000006,0.6844199655680759
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,1,0.05,,,,,,,,,228.7731685789938,4.5391501702181305,50.400000000000006,0.4248918788806205
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,5,0.05,,,,,,,,,21.100036263173997,0.4186515131582142,50.400000000000006,0.8395801018297893
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,5,0.05,,,,,,,,,84.40014505269599,1.6746060526328568,50.400000000000006,0.6114628672551954
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,5,0.05,,,,,,,,,337.60058021078396,6.698424210531427,50.400000000000006,0.36041186574588346
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,20,0.05,,,,,,,,,21.262458148384006,0.4218741696107937,50.400000000000006,0.8386281142611692
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,20,0.05,,,,,,,,,85.04983259353602,1.6874966784431749,50.400000000000006,0.6099946582853111
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,20,0.05,,,,,,,,,340.1993303741441,6.749986713772699,50.400000000000006,0.35921091196063826
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,1,0.1,,,,,,,,,12.412604156689971,0.24628182850575336,50.400000000000006,0.8957604195157388
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,5,0.1,,,,,,,,,62.06302078344986,1.231409142528767,50.400000000000006,0.6694380538023044
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,20,0.1,,,,,,,,,248.25208313379943,4.925636570115068,50.400000000000006,0.4108019477329613
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,1,0.1,,,,,,,,,49.650416626759885,0.9851273140230135,50.400000000000006,0.7097506803414294
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,5,0.1,,,,,,,,,248.25208313379943,4.925636570115068,50.400000000000006,0.4108019477329613
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,20,0.1,,,,,,,,,993.0083325351977,19.702546280460272,50.400000000000006,0.21977997412117675
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,1,0.1,,,,,,,,,198.60166650703954,3.940509256092054,50.400000000000006,0.44989808165426204
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,5,0.1,,,,,,,,,993.0083325351977,19.702546280460272,50.400000000000006,0.21977997412117675
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,20,0.1,,,,,,,,,3972.033330140791,78.81018512184109,50.400000000000006,0.11193627255077244
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,1,0.1,,,,,,,,,12.41260415668997,0.24628182850575334,50.400000000000006,0.8957604195157388
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,1,0.1,,,,,,,,,49.65041662675988,0.9851273140230133,50.400000000000006,0.7097506803414294
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,1,0.1,,,,,,,,,198.6016665070395,3.9405092560920534,50.400000000000006,0.44989808165426204
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,5,0.1,,,,,,,,,17.229381590046387,0.3418528093263172,50.400000000000006,0.8632718115707082
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,5,0.1,,,,,,,,,68.91752636018555,1.3674112373052687,50.400000000000006,0.6499248575096687
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,5,0.1,,,,,,,,,275.6701054407422,5.469644949221075,50.400000000000006,0.3931513545131765
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,20,0.1,,,,,,,,,17.3441731917823,0.344130420471871,50.400000000000006,0.8625401001608473
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,20,0.1,,,,,,,,,69.3766927671292,1.376521681887484,50.400000000000006,0.6486779111817651
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,20,0.1,,,,,,,,,277.5067710685168,5.506086727549936,50.400000000000006,0.3920487521564481
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,1,0.25,,,,,,,,,9.529411764705884,0.18907563025210086,50.400000000000006,0.9170547417102679
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,5,0.25,,,,,,,,,47.64705882352942,0.9453781512605043,50.400000000000006,0.7169650457936209
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,20,0.25,,,,,,,,,190.58823529411768,3.781512605042017,50.400000000000006,0.4573170017288869
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,1,0.25,,,,,,,,,38.117647058823536,0.7563025210084034,50.400000000000006,0.7545713951844597
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,5,0.25,,,,,,,,,190.58823529411768,3.781512605042017,50.400000000000006,0.4573170017288869
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,20,0.25,,,,,,,,,762.3529411764707,15.126050420168069,50.400000000000006,0.24902101177275215
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,1,0.25,,,,,,,,,152.47058823529414,3.025210084033614,50.400000000000006,0.49843177867770894
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,5,0.25,,,,,,,,,762.3529411764707,15.126050420168069,50.400000000000006,0.24902101177275215
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,20,0.25,,,,,,,,,3049.411764705883,60.504201680672274,50.400000000000006,0.12751098691105198
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,1,0.25,,,,,,,,,9.52941176470588,0.18907563025210078,50.400000000000006,0.9170547417102679
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,1,0.25,,,,,,,,,38.11764705882352,0.7563025210084031,50.400000000000006,0.7545713951844597
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,1,0.25,,,,,,,,,152.4705882352941,3.0252100840336125,50.400000000000006,0.498431778677709
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,5,0.25,,,,,,,,,12.128694870329298,0.2406487077446289,50.400000000000006,0.8977917003445314
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,5,0.25,,,,,,,,,48.51477948131719,0.9625948309785156,50.400000000000006,0.7138133641840249
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,5,0.25,,,,,,,,,194.05911792526877,3.8503793239140625,50.400000000000006,0.4540588533087778
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,20,0.25,,,,,,,,,12.190476027702475,0.24187452435917606,50.400000000000006,0.8973484994938652
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,20,0.25,,,,,,,,,48.7619041108099,0.9674980974367042,50.400000000000006,0.7129233504963748
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,20,0.25,,,,,,,,,195.0476164432396,3.869992389746817,50.400000000000006,0.4531436084888828
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,1,0.5,,,,,,,,,8.294400000000001,0.1645714285714286,50.400000000000006,0.9266525698878119
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,5,0.5,,,,,,,,,41.47200000000001,0.822857142857143,50.400000000000006,0.7406681724583486
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,20,0.5,,,,,,,,,165.88800000000003,3.291428571428572,50.400000000000006,0.4827241826184877
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,1,0.5,,,,,,,,,33.177600000000005,0.6582857142857144,50.400000000000006,0.7765516025700864
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,5,0.5,,,,,,,,,165.88800000000003,3.291428571428572,50.400000000000006,0.4827241826184877
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,20,0.5,,,,,,,,,663.5520000000001,13.165714285714287,50.400000000000006,0.265693396682609
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,1,0.5,,,,,,,,,132.71040000000002,2.6331428571428575,50.400000000000006,0.5246368147152027
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,5,0.5,,,,,,,,,663.5520000000001,13.165714285714287,50.400000000000006,0.265693396682609
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,20,0.5,,,,,,,,,2654.2080000000005,52.66285714285715,50.400000000000006,0.1365095717041918
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,1,0.5,,,,,,,,,8.2944,0.16457142857142854,50.400000000000006,0.9266525698878119
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,1,0.5,,,,,,,,,33.1776,0.6582857142857141,50.400000000000006,0.7765516025700865
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,1,0.5,,,,,,,,,132.7104,2.6331428571428566,50.400000000000006,0.5246368147152028
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,5,0.5,,,,,,,,,10.194873777264643,0.2022792416123937,50.400000000000006,0.912005223280612
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,5,0.5,,,,,,,,,40.77949510905857,0.8091169664495748,50.400000000000006,0.7434755257844774
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,5,0.5,,,,,,,,,163.1179804362343,3.236467865798299,50.400000000000006,0.48584534019811787
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,20,0.5,,,,,,,,,10.2399998674034,0.20317460054371822,50.400000000000006,0.9116658195090865
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,20,0.5,,,,,,,,,40.9599994696136,0.8126984021748729,50.400000000000006,0.7427407024079921
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,20,0.5,,,,,,,,,163.8399978784544,3.2507936086994915,50.400000000000006,0.48502596738329357
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,1,0.75,,,,,,,,,9.529411764705888,0.18907563025210092,50.400000000000006,0.9170547417102679
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,5,0.75,,,,,,,,,47.647058823529434,0.9453781512605045,50.400000000000006,0.7169650457936207
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,4,20,0.75,,,,,,,,,190.58823529411774,3.781512605042018,50.400000000000006,0.45731700172888684
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,1,0.75,,,,,,,,,38.11764705882355,0.7563025210084037,50.400000000000006,0.7545713951844596
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,5,0.75,,,,,,,,,190.58823529411774,3.781512605042018,50.400000000000006,0.45731700172888684
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,16,20,0.75,,,,,,,,,762.352941176471,15.126050420168072,50.400000000000006,0.24902101177275213
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,1,0.75,,,,,,,,,152.4705882352942,3.0252100840336147,50.400000000000006,0.4984317786777089
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,5,0.75,,,,,,,,,762.352941176471,15.126050420168072,50.400000000000006,0.24902101177275213
continuous_fisher,direct_q_continuous_observation,default_0.90_0.10,0.9,0.1,64,20,0.75,,,,,,,,,3049.411764705884,60.50420168067229,50.400000000000006,0.12751098691105195
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,1,0.75,,,,,,,,,9.529411764705882,0.1890756302521008,50.400000000000006,0.9170547417102679
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,1,0.75,,,,,,,,,38.11764705882353,0.7563025210084032,50.400000000000006,0.7545713951844597
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,1,0.75,,,,,,,,,152.47058823529412,3.025210084033613,50.400000000000006,0.49843177867770894
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,5,0.75,,,,,,,,,12.128694870329298,0.2406487077446289,50.400000000000006,0.8977917003445314
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,5,0.75,,,,,,,,,48.51477948131719,0.9625948309785156,50.400000000000006,0.7138133641840249
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,5,0.75,,,,,,,,,194.05911792526877,3.8503793239140625,50.400000000000006,0.4540588533087778
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,4,20,0.75,,,,,,,,,12.190476027702474,0.24187452435917603,50.400000000000006,0.8973484994938652
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,16,20,0.75,,,,,,,,,48.761904110809894,0.9674980974367041,50.400000000000006,0.7129233504963748
continuous_fisher,latent_leaf_continuous_propensity,default_0.90_0.10,0.9,0.1,64,20,0.75,,,,,,,,,195.04761644323958,3.8699923897468165,50.400000000000006,0.4531436084888828
