dgp,fit,leaf,nuisance_truth,design,estimand,parameter,kind,support,demandingness,truth,posterior_mean,posterior_median,posterior_p03,posterior_p97,signed_error,abs_error,squared_error,interval_includes_truth
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__neutral,beta_pres,moderate support,neutral,0.800070964229312,0.8863650725135942,0.8888424229193946,0.8240176830025867,0.9331680195483719,0.08877145869008263,0.08877145869008263,0.007880371877965047,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__strongly_demanding,beta_pres,moderate support,strongly demanding,0.6384525086871429,0.8920382070919544,0.8950274256023325,0.8340084282372257,0.9361436427326141,0.25657491691518963,0.25657491691518963,0.06583068799003647,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__weakly_demanding,beta_pres,moderate support,weakly demanding,0.7510862838496203,0.8858694474821935,0.8887409952894032,0.8244997305585228,0.9340493317690246,0.13765471143978292,0.13765471143978292,0.018948819581569902,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__moderate_support__weakly_undemanding,beta_pres,moderate support,weakly undemanding,0.8586701611233953,0.8888372231084,0.8915595258279413,0.8267479750620518,0.9334893479338036,0.032889364704545954,0.032889364704545954,0.0010817103106686332,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__moderately_demanding,beta_pres,strong support,moderately demanding,0.8652906577456392,0.8870630784586593,0.8902210003918183,0.828733305113299,0.9326378454717129,0.024930342646179104,0.024930342646179104,0.0006215219844558966,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__moderately_undemanding,beta_pres,strong support,moderately undemanding,0.9598425445419301,0.8986785275891083,0.9020097214869649,0.8374266739004737,0.9418613391552675,-0.05783282305496518,0.05783282305496518,0.0033446354225069117,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__neutral,beta_pres,strong support,neutral,0.8817754922006148,0.890985568863311,0.8939778038143766,0.827806086767364,0.9374104788800267,0.01220231161376184,0.01220231161376184,0.00014889640871934708,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__strongly_demanding,beta_pres,strong support,strongly demanding,0.7979354739553153,0.8911766275038608,0.8945799286177358,0.8294436440924203,0.9369753239134998,0.09664445466242055,0.09664445466242055,0.009340150616996662,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__weakly_demanding,beta_pres,strong support,weakly demanding,0.8581969292138683,0.8813757844064836,0.8846642460547502,0.8158829449332391,0.9321722313739537,0.026467316840881994,0.026467316840881994,0.0007005188607556356,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__strong_support__weakly_undemanding,beta_pres,strong support,weakly undemanding,0.9205216626808573,0.9020212776304252,0.9046348638645618,0.8456096345523313,0.942805831815792,-0.01588679881629551,0.01588679881629551,0.00025239037662944845,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_support__moderately_demanding,beta_pres,weak support,moderately demanding,0.560047800174686,0.8932614391234164,0.8961247967623587,0.8309944775184649,0.9388314273079521,0.33607699658767265,0.33607699658767265,0.11294774763539053,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_support__moderately_undemanding,beta_pres,weak support,moderately undemanding,0.8265237784608894,0.881907360747195,0.8854624884468604,0.8147971413459977,0.932955268583697,0.05893870998597095,0.05893870998597095,0.0034737715348103918,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_support__neutral,beta_pres,weak support,neutral,0.6234429189806305,0.8916823423670346,0.8955467148597955,0.8285728170911949,0.9379137553376459,0.272103795879165,0.272103795879165,0.0740404757318503,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_support__strongly_undemanding,beta_pres,weak support,strongly undemanding,0.9250177775636342,0.8977284761025893,0.9011833937398719,0.8362606866718396,0.9411672903415133,-0.02383438382376235,0.02383438382376235,0.0005680778522584244,True
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_support__weakly_undemanding,beta_pres,weak support,weakly undemanding,0.7055114197117434,0.8863352100003488,0.8898511100576616,0.8228118169163104,0.9340996715295313,0.18433969034591824,0.18433969034591824,0.03398112143682902,False
exact_latent_tree,full_exact_tree,three_state_binomial_2,exact_tree_production_medians,current_gwt_rater_design,label_beta,beta_pres__weak_undermining__neutral,beta_pres,weak undermining,neutral,0.4570038041913731,0.8882322198361258,0.8911714324403632,0.8253831491737066,0.9347042878443402,0.43416762824899013,0.43416762824899013,0.1885015294193533,False
