dgp,fit,leaf,design,nuisance_truth,estimand,system,node_key,node_name,node_type,top_feature,depth,fanout,subtree_indicator_count,subtree_rating_count,z_true,prior_p_z1,posterior_p_z1,prior_entropy,posterior_entropy,entropy_reduction,relative_entropy_reduction,brier,log_score,neg_log_score
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention > Performance Sensitivity,Performance Sensitivity,feature,Selective Attention,2,3,3,6,0,0.4621422000791051,0.0014357448998143165,0.6902780094310397,0.010833202452084858,0.6794448069789548,0.9843060298835044,2.061363417342822e-06,-0.0014367765691172196,0.0014367765691172196
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Selective Attention > Capability Attention Modulation,Capability Attention Modulation,feature,Selective Attention,2,2,2,4,1,0.5297406598838114,0.07771206752881256,0.6913771222437427,0.27314557123114436,0.41823155101259835,0.6049253548559742,0.8506150303819776,-2.5547447244166417,2.5547447244166417
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,Chicken,Global Workspace Theory > Integration,Integration,feature,Integration,1,2,2,4,1,0.3782271175231424,0.643842060638429,0.6631895406177672,0.6511755261879333,0.012014014429833964,0.018115506494030043,0.1268484777702805,-0.44030183041171417,0.44030183041171417
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Representationality,Representationality,feature,Representationality,1,4,8,30,1,0.8747449737790987,0.8491414791341629,0.3772661222228169,0.4241953931099587,-0.04692927088714177,-0.12439301628950639,0.022758293317828197,-0.16352946446433145,0.16352946446433145
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Conceptual Representations,Conceptual Representations,feature,Representationality,2,3,3,11,1,0.7920300059098643,0.9764105395579665,0.5112546147534314,0.11169766800918089,0.39955694674425046,0.781522425840497,0.000556462643946262,-0.023872146218060292,0.023872146218060292
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Propositional Representations,Propositional Representations,feature,Representationality,2,1,1,4,1,0.7839477824098874,0.8183361209534343,0.5218657782113378,0.4739071497033188,0.04795862850801902,0.09189839707902328,0.03300176495024524,-0.2004821209670192,0.2004821209670192
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > World Modelling,World Modelling,feature,Representationality,2,2,2,7,1,0.7107112276341973,0.9822289060668997,0.601513631745414,0.08923298853176018,0.5122806432136537,0.8516525913588482,0.00031581177957907354,-0.017930895890578197,0.017930895890578197
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Representationality > Isomorphic Representations,Isomorphic Representations,feature,Representationality,2,2,2,8,0,0.6928790190926256,0.7099732298013272,0.6167776971464367,0.6021756504612689,0.014602046685167847,0.023674732002673237,0.5040619870345281,-1.2377820492321119,1.2377820492321119
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Hierarchical Organization,Hierarchical Organization,feature,Hierarchical Organization,1,1,1,3,1,0.6495371700235225,0.5843290269523236,0.6477326782378771,0.6788562028035281,-0.03112352456565104,-0.04804995272173231,0.17278235783440213,-0.5372910524897851,0.5372910524897851
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Coherence,Coherence,feature,Coherence,1,4,13,48,1,0.17119957314955098,0.4033857993679231,0.4577831992855692,0.6743606301786096,-0.21657743089304038,-0.4731004353830326,0.35594850439585213,-0.9078618564417743,0.9078618564417743
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Autonomous Subparts,Autonomous Subparts,feature,Coherence,2,5,5,18,0,0.48190971463131826,0.03982283575531409,0.6924925208382462,0.1673807009611255,0.5251118198771207,0.7582924061641634,0.0015858582475947224,-0.040637465458575224,0.040637465458575224
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Point of View,Point of View,feature,Coherence,2,2,2,7,1,0.4061794630822321,0.10251015969437989,0.6754378041089772,0.33056361004171353,0.3448741940672637,0.5105935616414219,0.8054880134518074,-2.2777933663460748,2.2777933663460748
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Common Representational Scheme,Common Representational Scheme,feature,Coherence,2,3,3,11,1,0.3659344274178174,0.45130300988424543,0.6567564059778644,0.6883968602418914,-0.03164045426402695,-0.04817684909660915,0.3010683869620885,-0.7956163028068185,0.7956163028068185
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Coherence > Social Coherence,Social Coherence,feature,Coherence,2,3,3,12,1,0.47011516560778527,0.6032319086307861,0.6913599088726066,0.6716794602033542,0.019680448669252337,0.02846628567361541,0.15742491832876884,-0.5054535647637725,0.5054535647637725
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Modularity,Modularity,feature,Modularity,1,6,6,24,0,0.26597114940784095,0.0076086737631626275,0.5792103479935047,0.044698313396589015,0.5345120345969157,0.9228288763288975,5.789191643423934e-05,-0.007637767391282766,0.007637767391282766
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Complexity,Complexity,feature,Complexity,1,3,8,30,1,0.44926543358967064,0.6132140849292643,0.6879903175765232,0.6672886541711914,0.02070166340533175,0.030090050508638392,0.14960334409710635,-0.4890411626963101,0.4890411626963101
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Functional Diversity,Functional Diversity,feature,Complexity,2,2,2,7,1,0.49515441680151456,0.6466817201600714,0.6931002204717904,0.649476619428024,0.04362360104376639,0.06293981700665452,0.12483380686904609,-0.4359010372657667,0.4359010372657667
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity,Informational Complexity,feature,Complexity,2,4,2,7,0,0.5076336875606835,0.11802831797930168,0.6930306296602893,0.3629780578707658,0.33005257178952346,0.47624528796268223,0.013930683845023146,-0.1255953300432684,0.1255953300432684
exact_latent_tree,per_system_obs_exact_tree,three_state_binomial_2,current_gwt_rater_design,per_system_obs_task2_medians,internal_z_probability,2024 Leading Chat LLMs,Global Workspace Theory > Complexity > Informational Complexity > Efficient Problem-Solving,Efficient Problem-Solving,feature,Complexity,3,0,0,0,1,0.5660116155193303,0.2094443360067253,0.6844066181490709,0.5132195260989811,0.17118709205008975,0.25012483443402855,0.6249782578718475,-1.5632972741761524,1.5632972741761524
